sepal length (cm)	sepal width (cm)	petal length (cm)	petal width (cm)	class	Total
5.8	2.7	3.9	1.2	Iris-versicolor	13.6
6.0	2.7	5.1	1.6	Iris-versicolor	15.399999999999999
5.4	3.0	4.5	1.5	Iris-versicolor	14.4
6.0	3.4	4.5	1.6	Iris-versicolor	15.5
6.7	3.1	4.7	1.5	Iris-versicolor	16.0
6.3	2.3	4.4	1.3	Iris-versicolor	14.3
5.6	3.0	4.1	1.3	Iris-versicolor	14.0
5.5	2.5	4.0	1.3	Iris-versicolor	13.3
5.5	2.6	4.4	1.2	Iris-versicolor	13.7
6.1	3.0	4.6	1.4	Iris-versicolor	15.1
5.8	2.6	4.0	1.2	Iris-versicolor	13.6
5.0	2.3	3.3	1.0	Iris-versicolor	11.6
5.6	2.7	4.2	1.3	Iris-versicolor	13.8
5.7	3.0	4.2	1.2	Iris-versicolor	14.099999999999998
5.7	2.9	4.2	1.3	Iris-versicolor	14.100000000000001
6.2	2.9	4.3	1.3	Iris-versicolor	14.7
5.1	2.5	3.0	1.1	Iris-versicolor	11.7
5.7	2.8	4.1	1.3	Iris-versicolor	13.9
6.3	3.3	6.0	2.5	Iris-virginica	18.1
5.8	2.7	5.1	1.9	Iris-virginica	15.5
7.1	3.0	5.9	2.1	Iris-virginica	18.1
6.3	2.9	5.6	1.8	Iris-virginica	16.599999999999998
6.5	3.0	5.8	2.2	Iris-virginica	17.5
7.6	3.0	6.6	2.1	Iris-virginica	19.3
4.9	2.5	4.5	1.7	Iris-virginica	13.6
7.3	2.9	6.3	1.8	Iris-virginica	18.3
6.7	2.5	5.8	1.8	Iris-virginica	16.8
7.2	3.6	6.1	2.5	Iris-virginica	19.4
6.5	3.2	5.1	2.0	Iris-virginica	16.799999999999997
6.4	2.7	5.3	1.9	Iris-virginica	16.3
6.8	3.0	5.5	2.1	Iris-virginica	17.400000000000002
5.7	2.5	5.0	2.0	Iris-virginica	15.2
5.8	2.8	5.1	2.4	Iris-virginica	16.099999999999998
6.4	3.2	5.3	2.3	Iris-virginica	17.200000000000003
6.5	3.0	5.5	1.8	Iris-virginica	16.8
7.7	3.8	6.7	2.2	Iris-virginica	20.4
7.7	2.6	6.9	2.3	Iris-virginica	19.500000000000004
6.0	2.2	5.0	1.5	Iris-virginica	14.7
6.9	3.2	5.7	2.3	Iris-virginica	18.1
5.6	2.8	4.9	2.0	Iris-virginica	15.299999999999999
7.7	2.8	6.7	2.0	Iris-virginica	19.2
6.3	2.7	4.9	1.8	Iris-virginica	15.700000000000001
6.7	3.3	5.7	2.1	Iris-virginica	17.8
7.2	3.2	6.0	1.8	Iris-virginica	18.2
6.2	2.8	4.8	1.8	Iris-virginica	15.600000000000001
6.1	3.0	4.9	1.8	Iris-virginica	15.8
6.4	2.8	5.6	2.1	Iris-virginica	16.9
7.2	3.0	5.8	1.6	Iris-virginica	17.6
7.4	2.8	6.1	1.9	Iris-virginica	18.199999999999996
7.9	3.8	6.4	2.0	Iris-virginica	20.1
6.4	2.8	5.6	2.2	Iris-virginica	17.0
6.3	2.8	5.1	1.5	Iris-virginica	15.7
6.1	2.6	5.6	1.4	Iris-virginica	15.7
7.7	3.0	6.1	2.3	Iris-virginica	19.099999999999998
6.3	3.4	5.6	2.4	Iris-virginica	17.7
6.4	3.1	5.5	1.8	Iris-virginica	16.8
6.0	3.0	4.8	1.8	Iris-virginica	15.600000000000001
6.9	3.1	5.4	2.1	Iris-virginica	17.5
6.7	3.1	5.6	2.4	Iris-virginica	17.8
6.9	3.1	5.1	2.3	Iris-virginica	17.4
5.8	2.7	5.1	1.9	Iris-virginica	15.5
6.8	3.2	5.9	2.3	Iris-virginica	18.2
6.7	3.3	5.7	2.5	Iris-virginica	18.2
6.7	3.0	5.2	2.3	Iris-virginica	17.2
6.3	2.5	5.0	1.9	Iris-virginica	15.700000000000001
6.5	3.0	5.2	2.0	Iris-virginica	16.7
6.2	3.4	5.4	2.3	Iris-virginica	17.3
5.9	3.0	5.1	1.8	Iris-virginica	15.8
